snr tests fe_cum be_cum in_be_cum fer_e_minus fer_e_plus fer ber in_ber in_ber_ref fer_fit ber_fit
-1.000000e+00 630 201 1.459722e+01 6.513195e+01 3.520629e-02 3.739965e-02 3.190476e-01 2.317019e-02 1.033840e-01 1.037591e-01 3.171870e-01 2.325332e-02
-9.500000e-01 720 208 1.353472e+01 7.395293e+01 3.191737e-02 3.415812e-02 2.888889e-01 1.879823e-02 1.027124e-01 1.024533e-01 2.862614e-01 1.855822e-02
-9.000000e-01 1030 211 1.401543e+01 1.040116e+02 2.352957e-02 2.572292e-02 2.048544e-01 1.360722e-02 1.009821e-01 1.011521e-01 2.153668e-01 1.408317e-02
-8.500000e-01 1150 203 1.312577e+01 1.149036e+02 2.094826e-02 2.310215e-02 1.765217e-01 1.141371e-02 9.991614e-02 9.985559e-02 1.651086e-01 1.075041e-02
-8.000000e-01 1640 204 1.292824e+01 1.617423e+02 1.510026e-02 1.685577e-02 1.243902e-01 7.883074e-03 9.862336e-02 9.856386e-02 1.301007e-01 8.238607e-03
-7.500000e-01 2020 205 1.250000e+01 1.966281e+02 1.242130e-02 1.393415e-02 1.014851e-01 6.188119e-03 9.734063e-02 9.727705e-02 1.014685e-01 6.245906e-03
-7.000000e-01 2560 202 1.248920e+01 2.456998e+02 9.823547e-03 1.108541e-02 7.890625e-02 4.878593e-03 9.597650e-02 9.599529e-02 7.630641e-02 4.634997e-03
-6.500000e-01 3630 202 1.250309e+01 3.434398e+02 6.998450e-03 7.937931e-03 5.564738e-02 3.444376e-03 9.461152e-02 9.471871e-02 5.513329e-02 3.353208e-03
-6.000000e-01 5520 207 1.261420e+01 5.149884e+02 4.698743e-03 5.342018e-03 3.750000e-02 2.285181e-03 9.329500e-02 9.344741e-02 3.866493e-02 2.363791e-03
-5.500000e-01 8290 208 1.197454e+01 7.645570e+02 3.153159e-03 3.593087e-03 2.509047e-02 1.444456e-03 9.222642e-02 9.218154e-02 2.661997e-02 1.623003e-03
-5.000000e-01 10560 213 1.279475e+01 9.601103e+02 2.512022e-03 2.860995e-03 2.017045e-02 1.211624e-03 9.091954e-02 9.092121e-02 1.806636e-02 1.083266e-03
-4.500000e-01 16350 208 1.200849e+01 1.467007e+03 1.606984e-03 1.835904e-03 1.272171e-02 7.344641e-04 8.972520e-02 8.966654e-02 1.202607e-02 7.006380e-04
-4.000000e-01 26770 201 1.166435e+01 2.367566e+03 9.657724e-04 1.107096e-03 7.508405e-03 4.357248e-04 8.844102e-02 8.841766e-02 7.768896e-03 4.380015e-04
-3.500000e-01 46300 204 1.123071e+01 4.036064e+03 5.635451e-04 6.457760e-04 4.406048e-03 2.425639e-04 8.717201e-02 8.717468e-02 4.821906e-03 2.646163e-04
-3.000000e-01 74740 207 1.154475e+01 6.422213e+03 3.520723e-04 4.031826e-04 2.769601e-03 1.544655e-04 8.592739e-02 8.593774e-02 2.864293e-03 1.549960e-04
-2.500000e-01 123000 203 1.086265e+01 1.041910e+04 2.118127e-04 2.429400e-04 1.650407e-03 8.831426e-05 8.470811e-02 8.470696e-02 1.636213e-03 8.855085e-05
-2.000000e-01 221740 207 1.134105e+01 1.850962e+04 1.187588e-04 1.360503e-04 9.335258e-04 5.114571e-05 8.347445e-02 8.348245e-02 9.095015e-04 4.966986e-05
-1.500000e-01 395310 207 1.130093e+01 3.251729e+04 6.662611e-05 7.633343e-05 5.236397e-04 2.858750e-05 8.225770e-02 8.226434e-02 4.985359e-04 2.746566e-05
-1.000000e-01 709360 203 1.112269e+01 5.749351e+04 3.674778e-05 4.216004e-05 2.861735e-04 1.567989e-05 8.104983e-02 8.105275e-02 2.715623e-04 1.495350e-05
-5.000000e-02 1444550 208 1.097222e+01 1.153303e+05 1.828245e-05 2.094095e-05 1.439895e-04 7.595599e-06 7.983820e-02 7.984780e-02 1.464666e-04 7.955112e-06
0.000000e+00 2667590 205 1.091049e+01 2.098150e+05 9.824044e-06 1.126387e-05 7.684839e-05 4.090019e-06 7.865339e-02 7.864960e-02 7.698238e-05 4.086151e-06
5.000000e-02 5949740 205 1.063503e+01 4.608436e+05 4.404726e-06 5.050332e-06 3.445529e-05 1.787478e-06 7.745609e-02 7.745829e-02 3.858335e-05 2.005189e-06
1.000000e-01 10249210 195 1.063812e+01 7.817157e+05 2.489538e-06 2.864329e-06 1.902586e-05 1.037945e-06 7.627082e-02 7.627397e-02 1.819306e-05 9.393827e-07
1.500000e-01 10000010 91 4.468364e+00 7.509161e+05 1.687446e-06 2.071585e-06 9.099991e-06 4.468360e-07 7.509154e-02 7.509676e-02 8.168636e-06 4.273345e-07
2.000000e-01 10000010 39 1.969907e+00 7.392716e+05 1.046901e-06 1.431043e-06 3.899996e-06 1.969905e-07 7.392709e-02 7.392678e-02 3.662408e-06 1.955987e-07
2.500000e-01 10000010 11 6.103395e-01 7.276731e+05 4.857557e-07 8.699002e-07 1.099999e-06 6.103389e-08 7.276723e-02 7.276415e-02 1.750442e-06 9.341145e-08
3.000000e-01 10000010 11 6.219136e-01 7.161454e+05 4.857557e-07 8.699002e-07 1.099999e-06 6.219130e-08 7.161447e-02 7.160898e-02 8.971255e-07 4.578260e-08
3.500000e-01 11479160 4 1.828704e-01 8.088224e+05 2.129492e-07 5.475952e-07 3.484576e-07 1.593064e-08 7.046007e-02 7.046139e-02 3.884092e-07 1.916846e-08
4.000000e-01 14083320 1 5.941358e-02 9.762929e+05 5.847168e-08 3.312381e-07 7.100598e-08 4.218720e-09 6.932264e-02 6.932149e-02 6.115719e-08 3.919572e-09
