snr tests fe_cum be_cum in_be_cum fer_e_minus fer_e_plus fer ber in_ber in_ber_ref fer_fit ber_fit
-1.000000e+00 420 60 5.057099e+00 4.351157e+01 3.023373e-02 3.670761e-02 1.428571e-01 1.204071e-02 1.035990e-01 1.037591e-01 1.469617e-01 1.227666e-02
-9.500000e-01 510 64 5.339506e+00 5.206405e+01 2.597984e-02 3.157948e-02 1.254902e-01 1.046962e-02 1.020864e-01 1.024533e-01 1.213309e-01 1.039996e-02
-9.000000e-01 680 71 5.972222e+00 6.908025e+01 2.080446e-02 2.524887e-02 1.044118e-01 8.782680e-03 1.015886e-01 1.011521e-01 9.361505e-02 7.712886e-03
-8.500000e-01 1110 64 4.907407e+00 1.108897e+02 1.224810e-02 1.529924e-02 5.765766e-02 4.421088e-03 9.990060e-02 9.985559e-02 6.690794e-02 5.287478e-03
-8.000000e-01 1550 66 5.422840e+00 1.526528e+02 8.971908e-03 1.123360e-02 4.258065e-02 3.498606e-03 9.848567e-02 9.856386e-02 4.489559e-02 3.468598e-03
-7.500000e-01 2130 61 4.482253e+00 2.073271e+02 6.278853e-03 7.975995e-03 2.863850e-02 2.104344e-03 9.733669e-02 9.727705e-02 2.892091e-02 2.223501e-03
-7.000000e-01 2760 61 4.631944e+00 2.646867e+02 4.856733e-03 6.185194e-03 2.210145e-02 1.678241e-03 9.590098e-02 9.599529e-02 1.828124e-02 1.409228e-03
-6.500000e-01 5370 61 4.605710e+00 5.079830e+02 2.505514e-03 3.204118e-03 1.135940e-02 8.576741e-04 9.459647e-02 9.471871e-02 1.151900e-02 8.878164e-04
-6.000000e-01 7700 62 4.888889e+00 7.193273e+02 1.765387e-03 2.255999e-03 8.051948e-03 6.349206e-04 9.341913e-02 9.344741e-02 7.284687e-03 5.564730e-04
-5.500000e-01 15000 62 4.610340e+00 1.380576e+03 9.074545e-04 1.161370e-03 4.133333e-03 3.073560e-04 9.203838e-02 9.218154e-02 4.612968e-03 3.461058e-04
-5.000000e-01 23210 61 4.639660e+00 2.111155e+03 5.814304e-04 7.460419e-04 2.628178e-03 1.998992e-04 9.095886e-02 9.092121e-02 2.896068e-03 2.124185e-04
-4.500000e-01 38520 65 4.570216e+00 3.452780e+03 3.631661e-04 4.625460e-04 1.687435e-03 1.186453e-04 8.963604e-02 8.966654e-02 1.776357e-03 1.275945e-04
-4.000000e-01 52240 61 4.284722e+00 4.615649e+03 2.584558e-04 3.318135e-04 1.167688e-03 8.201995e-05 8.835469e-02 8.841766e-02 1.047846e-03 7.424095e-05
-3.500000e-01 116170 70 4.814043e+00 1.012471e+04 1.255620e-04 1.585886e-04 6.025652e-04 4.143964e-05 8.715421e-02 8.717468e-02 5.867105e-04 4.136515e-05
-3.000000e-01 218610 72 5.241512e+00 1.879581e+04 6.778714e-05 8.534746e-05 3.293536e-04 2.397654e-05 8.597872e-02 8.593774e-02 3.096393e-04 2.183023e-05
-2.500000e-01 378230 60 4.236111e+00 3.204138e+04 3.537896e-05 4.553204e-05 1.586336e-04 1.119983e-05 8.471400e-02 8.470696e-02 1.542500e-04 1.083032e-05
-2.000000e-01 959460 60 4.067130e+00 8.011192e+04 1.394724e-05 1.795050e-05 6.253518e-05 4.238978e-06 8.349689e-02 8.348245e-02 7.332229e-05 5.051531e-06
-1.500000e-01 1931190 70 4.528549e+00 1.588534e+05 7.554630e-06 9.543648e-06 3.624708e-05 2.344953e-06 8.225675e-02 8.226434e-02 3.389574e-05 2.245675e-06
-1.000000e-01 4009740 59 3.967593e+00 3.249992e+05 3.305951e-06 4.263954e-06 1.471417e-05 9.894887e-07 8.105243e-02 8.105275e-02 1.559851e-05 9.856851e-07
-5.000000e-02 8755960 69 4.169753e+00 6.991263e+05 1.652911e-06 2.091629e-06 7.880347e-06 4.762188e-07 7.984576e-02 7.984780e-02 7.294171e-06 4.568843e-07
0.000000e+00 10000010 33 2.418210e+00 7.865377e+05 9.501044e-07 1.334247e-06 3.299997e-06 2.418207e-07 7.865369e-02 7.864960e-02 3.489922e-06 2.502134e-07
