snr tests fe_cum be_cum in_be_cum fer_e_minus fer_e_plus fer ber in_ber in_ber_ref fer_fit ber_fit
-1.000000e+00 110 8 6.512346e-01 1.137423e+01 3.541685e-02 6.425258e-02 7.272727e-02 5.920314e-03 1.034021e-01 1.037591e-01 7.702709e-02 6.388338e-03
-9.500000e-01 120 8 6.736111e-01 1.218056e+01 3.250136e-02 5.938464e-02 6.666667e-02 5.613426e-03 1.015046e-01 1.024533e-01 6.202961e-02 5.208252e-03
-9.000000e-01 160 10 8.294753e-01 1.621374e+01 2.820033e-02 4.871575e-02 6.250000e-02 5.184221e-03 1.013358e-01 1.011521e-01 5.297261e-02 4.130862e-03
-8.500000e-01 300 12 7.847222e-01 2.990277e+01 1.697268e-02 2.860421e-02 4.000000e-02 2.615741e-03 9.967592e-02 9.985559e-02 4.179406e-02 3.073169e-03
-8.000000e-01 610 16 1.192901e+00 6.016434e+01 1.002091e-02 1.595069e-02 2.622951e-02 1.955576e-03 9.863007e-02 9.856386e-02 2.977811e-02 2.148424e-03
-7.500000e-01 660 12 9.074074e-01 6.408257e+01 7.751009e-03 1.332729e-02 1.818182e-02 1.374860e-03 9.709480e-02 9.727705e-02 1.971829e-02 1.437075e-03
-7.000000e-01 470 7 5.547840e-01 4.514121e+01 7.660829e-03 1.552640e-02 1.489362e-02 1.180391e-03 9.604513e-02 9.599529e-02 1.264060e-02 9.387355e-04
-6.500000e-01 5180 39 2.908179e+00 4.896566e+02 2.016332e-03 2.746218e-03 7.528958e-03 5.614245e-04 9.452830e-02 9.471871e-02 8.099383e-03 6.081088e-04
-6.000000e-01 5390 39 2.880401e+00 5.032085e+02 1.937951e-03 2.639838e-03 7.235622e-03 5.343973e-04 9.335965e-02 9.344741e-02 5.265612e-03 3.935745e-04
-5.500000e-01 4710 10 6.311728e-01 4.341617e+02 9.694603e-04 1.780932e-03 2.123142e-03 1.340070e-04 9.217871e-02 9.218154e-02 3.469133e-03 2.544628e-04
-5.000000e-01 4710 13 9.444444e-01 4.285897e+02 1.146322e-03 1.956755e-03 2.760085e-03 2.005190e-04 9.099569e-02 9.092121e-02 2.288351e-03 1.634526e-04
-4.500000e-01 12560 15 1.110340e+00 1.124719e+03 4.703659e-04 7.753907e-04 1.194268e-03 8.840283e-05 8.954765e-02 8.966654e-02 1.487679e-03 1.034991e-04
-4.000000e-01 28260 24 1.665123e+00 2.499489e+03 2.784683e-04 4.141517e-04 8.492569e-04 5.892157e-05 8.844617e-02 8.841766e-02 9.409846e-04 6.414120e-05
-3.500000e-01 7850 11 6.628086e-01 6.850038e+02 6.186242e-04 1.106372e-03 1.401274e-03 8.443422e-05 8.726164e-02 8.717468e-02 5.757958e-04 3.873581e-05
-3.000000e-01 70650 20 1.432870e+00 6.067415e+03 9.981551e-05 1.541549e-04 2.830856e-04 2.028125e-05 8.587989e-02 8.593774e-02 3.417722e-04 2.278613e-05
-2.500000e-01 102060 19 1.304012e+00 8.641569e+03 6.697519e-05 1.045990e-04 1.861650e-04 1.277692e-05 8.467146e-02 8.470696e-02 1.985548e-04 1.309575e-05
-2.000000e-01 518100 64 3.991512e+00 4.325705e+04 2.678170e-05 3.419432e-05 1.235283e-04 7.704135e-06 8.349170e-02 8.348245e-02 1.140757e-04 7.387514e-06
-1.500000e-01 78510 6 4.266975e-01 6.459498e+03 4.139741e-05 9.031708e-05 7.642339e-05 5.434945e-06 8.227611e-02 8.226434e-02 6.516145e-05 4.102666e-06
-1.000000e-01 471000 13 7.723765e-01 3.816959e+04 1.146999e-05 1.962543e-05 2.760085e-05 1.639865e-06 8.103947e-02 8.105275e-02 3.679895e-05 2.236601e-06
-5.000000e-02 471000 9 5.370370e-01 3.760412e+04 9.055013e-06 1.721060e-05 1.910828e-05 1.140206e-06 7.983890e-02 7.984780e-02 2.015296e-05 1.181114e-06
0.000000e+00 471000 7 4.166667e-01 3.704359e+04 7.662691e-06 1.581835e-05 1.486200e-05 8.846426e-07 7.864882e-02 7.864960e-02 1.039510e-05 5.875532e-07
5.000000e-02 523340 3 1.504630e-01 4.053830e+04 3.782872e-06 1.112301e-05 5.732411e-06 2.875052e-07 7.746073e-02 7.745829e-02 4.928085e-06 2.631121e-07
1.000000e-01 7401470 15 6.828704e-01 5.645469e+05 7.984100e-07 1.317421e-06 2.026624e-06 9.226145e-08 7.627497e-02 7.627397e-02 2.169759e-06 9.957550e-08
1.500000e-01 1744470 2 6.481481e-02 1.310195e+05 8.320738e-07 3.034142e-06 1.146480e-06 3.715445e-08 7.510564e-02 7.509676e-02 9.772581e-07 2.948176e-08
